seed,speed,altitude
1049496246,539.1526931251947,17449.073153863137
789555744,549.9003837357083,28930.640066370855
6702656,418.71322527090325,22227.278695438014
66358543,429.162080843154,33833.021819666115
564811055,405.05238197614455,23311.91994957361
1124157978,488.8240814867827,11377.469353067163
665025958,397.2086388700446,17272.409682067937
471703117,490.5282033419271,23883.756592948812
1949823262,440.8929578067913,25471.91715993369
691371689,385.4682241828123,16408.49688512852
1644851508,407.5142844852745,27371.8953601254
2069026228,516.0381507930317,32197.75555514711
1756052148,493.4952941562846,28232.985344242443
1625096817,418.16015216653915,11708.265371282992
1590522543,360.4853819003301,30642.780721873703
1678541090,436.642750756851,24719.158595729707
1531098596,459.5432594647838,15147.26194663492
735693035,473.9461930050991,19521.46228310316
999211658,351.92669773407073,11534.658717352853
92760636,455.1551712796765,14488.061683991302
1961578148,357.0205651844638,26495.231391543137
1927627777,544.3764331928571,32615.490427606543
1414195218,461.93604785682436,24145.53212260981
2140070812,484.9232142950043,19854.349647878495
942604581,482.7424538265119,13768.435937927483
251155165,457.7218357621221,15638.241322976255
318098392,399.8120212376272,13233.347504412044
1169469657,433.7326031511116,18751.44836052733
189829409,524.9377473577965,12096.8857485386
1500608054,513.0376676010994,12642.548547190032
1262518767,535.0766710700362,10240.832191736708
36830840,471.24415234186336,33432.11954772653
1891503134,488.27775803173944,32759.943956146075
1775536276,364.641959935655,20675.428181564894
829709469,546.0978227193649,19004.605793848066
1861606163,393.5264484325419,34911.557120390804
1974897055,421.4345509720939,14026.11048557568
1227759870,410.12829984971467,18237.36296706576
1456175709,416.48759833081664,18399.584057285803
1062767025,481.2040868587692,28478.54494604068
2043209032,476.6216842579207,11884.677169316667
1736550986,392.9521172444766,28044.793172228994
86479929,504.41660655129624,15985.334620487098
280291753,425.8646510362389,27068.39970053911
921439648,431.75246458541665,24408.50167737864
539011134,395.55149670808777,18630.647455963805
240520897,389.62040794882773,21497.191356333304
494338175,446.957277381675,32919.6653101312
1574643347,485.0257610275481,14833.065766986285
151327266,362.1535744142254,34408.94467230863
961503883,463.3486617526944,27853.339540973953
1002888734,495.23347335872757,21922.1866198329
730277586,365.9873576147701,30006.354218737302
1246676923,369.94272005512425,15596.479880390749
1518470236,366.95087353947883,12970.579162833337
1376036771,388.00366163459006,16140.044776075407
332822383,375.519518460149,13728.089031339094
1723114773,547.7373654636772,22692.644503808035
382193987,449.8945499812279,25706.895359305578
429595551,527.0837381636077,23027.0105371575
845603581,437.93603269221455,26308.494242175177
343525494,520.5382607882354,22320.316863363747
1274607946,534.5964101841073,17876.691745742588
1346543644,374.848867336798,32349.986228530404
296114914,371.87006372474127,28602.83163422177
530384750,430.0614782455909,23728.56463749012
1399358379,522.3982857011761,12811.495189606514
1834600654,379.89916490260697,30945.96565033544
977705096,444.31815490531375,19783.843186446273
1818872655,506.82330323306815,31911.102983348093
648339596,519.5434855562045,21807.82590871714
1107338119,537.8394297656334,33967.77166870251
396227272,383.78558171962317,29312.909766095356
1386963714,428.2863034712016,29445.415657677404
1700734432,506.4833422363626,12460.082780857596
864090877,479.29483980771056,20266.384680049294
1131757030,402.9516119665909,31415.66379057681
429262061,514.203738766758,21173.39704804033
1294313442,422.3623516719146,29904.717632230746
170263857,509.1093300302208,15223.759302444603
1475109812,358.8404037382659,18084.098349353982
364869592,413.21616275390426,24841.093559895166
630810655,404.04590169726424,17007.58550234662
1848103528,442.2013001082862,16561.207415909248
1325957957,391.35910238075803,23403.96453980181
1020351583,454.25866801933245,22845.830009590452
1200517446,452.09656937952525,10827.06455253375
115104139,477.7185643766621,34588.856523029506
592488795,354.77696024295824,19363.10618831511
2019627133,351.58452384401653,20446.853098352338
1899743438,517.5522577192803,33640.30661891262
460438517,531.2298281944929,25135.340187301503
1660690178,469.5202987022459,26144.274519545594
127766219,510.9847221009484,27535.310988892936
1605288480,381.74204548151755,13535.330130784283
1448485926,445.8534884304988,27284.087495226926
1549231589,502.51890399810156,34271.48672053752
2112955129,370.1627868566773,25326.730959028224
28609107,540.7230860820632,17560.3648860237
811090309,461.29979257642935,31474.678412779638
1688916842,525.6815882406904,14598.864717433285
1988499574,532.3660001040463,20882.841154998416
220199640,498.93248525203296,10541.898960779836
506644763,472.7626881538339,31244.96918322136
778655152,501.350188991132,10871.213534834813
2023964578,414.7857676503129,29703.808362707536
1321583330,438.94630522119877,24187.806571430425
701270986,529.4336622945295,26857.263414629262
2082604812,450.189122535401,29062.815894726496
1161438220,381.53645705837187,11150.990923256717
1196991035,401.1887413120383,21268.810368761333
213833635,465.008435973077,33133.48516714979
1790494586,409.0173048717261,14339.32031440665
766258220,355.034307490493,10152.498737877377
911038904,423.8960252856727,30577.081990228875
1079845443,497.90128102959034,31840.829191773377
2109124038,467.8198253294878,30283.373050294013
582016974,376.97475742587585,16671.962318071688
614079319,542.7251560847794,25998.919021571175
885884947,493.2269246236013,20126.992569579146
